Sr.,Particulars,,,,Qty,Rate,Total,,Date
25,Cover Set 125,,,,250,110,27500,,05-Aug-11
26,Cover  Set 125,,,,716,110,78760,,11-Aug-11
27,Cover Set 70,,,,520,80,41600,,18-Aug-11
28,Upper Cover 70,,,,772,40,30880,,24-Aug-11
29,Back Cover 70,,,,845,31,26195,,-
30,Back Cover 70 (Hole),,,,303,30,9090,,-
31,Cover Set 125,,,,275,110,30250,,-
32,Cover Set Sohrab Js,,,,100,110,11000,,-
33,Housing 70,,,,274,9,2466,,-
34,,,,,,,109881,,
35,Dial Blank  70,,,,1000,9,9000,,26-Aug-11
26,Cover Set Honda 125,,,,220,110,24200,,-
37,Housing 70,,,,355,9,3195,,-
38,,,,,,,0,,-
39,,,,,,,36395,,
1,Cover Set 125,,,,619,110,68090,,06-Sep-11
2,Cover Set 125,,,,500,110,55000,,14-Sep-11
3,Upper Cover New CD-70,,,,249,40,9960,,
4,Upper Cover Unique New,,,,240,40,9600,,
5,Back Cover New,,,,616,31,19096,,
6,Housing CD-70 (Black),,,,616,9,5544,,
,,,,,,,99200,,
7,Upper Cover 70 New,,,,800,40,32000,,19-Sep-11
8,Back Cover 70 New,,,,1298,31,40238,,
9,Housing 70,,,,842,9,7578,,
10,Cover Set 125,,,,307,110,33770,,
,,,,,,,113586,,
11,Upper Cover 70 New,,,,471,40,18840,,24-Sep-11
12,Upper Cover 70 New,,,,218,40,8720,,30-Sep-11
13,Cover Set 125,,,,785,110,86350,,
,,,,,,,95070,,
14,Dial Printed Honda 125 Set,,,,1000,26,26000,,07-Oct-11
15,Dial Printed Honda 125 Set,,,,172,26,4472,,
16,Upper Cover 70 New,,,,689,40,27560,,
17,Back Cover 70 New,,,,258,31,7998,,
,,,,,,,66030,,
18,Back Cover 70 New,,,,500,31,15500,,08-Oct-11
19,Housing 70,,,,713,9,6417,,
,,,,,,,21917,,
20,Upper Cover 70,,,,826,40,33040,,11-Oct-11
21,Back Cover 70,,,,2077,25,51925,,
22,Housing 70,,,,2064,9,18576,,
23,Dial Printed 70 (PGP),,,,450,14,6300,,
24,Cover Set 125,,,,250,110,27500,,
25,,,,,,,137341,,
26,Cover Set Sohrab JS,,,,100,110,11000,,15-Oct-11
27,Upper Cover 70 New,,,,677,31,20987,,
,,,,,,,31987,,
28,Dial Blank 70,,,,1000,9,9000,,21-Oct-11
29,Upper Cover 70,,,,701,25,17525,,
30,Housing 70,,,,399,9,3591,,
31,,,,,,,30116,,
32,Printed Dial Cd 70 PGP,,,,380,14,5320,,24-Oct-11
33,Printed Dial Cd 70 PGP,,,,224,14,3136,,
