Sr.,Particulars,Qty,Rate,Total,Date,,,,,,,,,,,
830,dial Blank qinque,500,12,6000,10-31-13,,,,,,,,,,,
831,Upper Cover Window,334,36,12024,11-05-13,,,,,,,,,,,
832,Upper Cover Window,337,36,12132,,,,,,,,,,,,
833,Back Cover 70,265,30,7950,,,,,,,,,,,,
834,Housing 70 Black,1332,8,10656,,,,,,,,,,,,
835,Dial Blank 70,5000,8,40000,,,,,,,,,,,,
836,,,,82762,,,,,,,,,,,,
837,Upper Cover Window,552,36,19872,11-07-13,,,,,,,,,,,
838,Back Cover 70,459,30,13770,,,,,,,,,,,,
839,Housing 70 Black,540,8,4320,,,,,,,,,,,,
840,,,,37962,,,,,,,,,,,,
841,Upper Cover Window,271,36,9756,11-09-13,,,,,,,,,,,
842,Upper Cover Window,592,36,21312,,,,,,,,,,,,
843,Back Cover 70,628,30,18840,,,,,,,,,,,,
844,Housing 70 Black,515,8,4120,,,,,,,,,,,,
845,,,,54028,,,,,,,,,,,,
846,Upper Cover Window,704,36,25344,11-11-13,,,,,,,,,,,
847,Back Cover 70,385,30,11550,,,,,,,,,,,,
848,Housing 70 Black,320,8,2560,,,,,,,,,,,,
849,,,,39454,,,,,,,,,,,,
850,Upper Cover Window,592,36,21312,11-18-13,,,,,,,,,,,
851,Back Cover 70,594,30,17820,,,,,,,,,,,,
852,Housing 70 Black,585,8,4680,,,,,,,,,,,,
853,,,,43812,,,,,,,,,,,,
854,Upper Cover Window,672,36,24192,11-20-13,,,,,,,,,,,
855,Back Cover 70,686,30,20580,,,,,,,,,,,,
856,Housing 70 Black,630,8,5040,,,,,,,,,,,,
857,Dial Blank qinque,1500,12,18000,,,,,,,,,,,,
858,,,,67812,,,,,,,,,,,,
859,Upper Cover Window,840,36,30240,11-22-13,,,,,,,,,,,
860,Housing 70 Black,640,8,5120,,,,,,,,,,,,
861,,,,35360,,,,,,,,,,,,
862,Upper Cover Window,452,36,16272,11-23-13,,,,,,,,,,,
863,Back Cover 70,582,30,17460,,,,,,,,,,,,
864,Housing 70 Black,520,8,4160,,,,,,,,,,,,
865,,,,37892,,,,,,,,,,,,
866,Upper Cover Qinque ,548,45,24660,11-25-13,,,,,,,,,,,
867,back Cover Qinque,540,20,10800,,,,,,,,,,,,
868,Housing Qinque,552,35,19320,,,,,,,,,,,,
869,Nest Qinque,500,20,10000,,,,,,,,,,,,
870,,,,64780,,,,,,,,,,,,
871,Upper Cover Zxmco,365,36,13140,11-28-13,,,,,,,,,,,
872,Back Cover 70,693,30,20790,,,,,,,,,,,,
873,Upper Cover Qinque ,534,45,24030,,,,,,,,,,,,
874,back Cover Qinque,300,20,6000,,,,,,,,,,,,
875,Housing Qinque,556,35,19460,,,,,,,,,,,,
876,Nest Qinque,190,20,3800,,,,,,,,,,,,
877,,,,87220,,,,,,,,,,,,
878,Dial Blank 70,5000,8,40000,11-29-13,,,,,,,,,,,
879,Upper Cover Window,766,36,27576,,,,,,,,,,,,
880,Back Cover 70,653,30,19590,,,,,,,,,,,,
881,Housing 70,530,8,4240,,,,,,,,,,,,
882,,,,91406,,,,,,,,,,,,
883,Upper Cover sohrab Jick,323,45,14535,12-02-13,,,,,,,,,,,
884,housing Qinque,416,35,14560,,,,,,,,,,,,
885,Back Cover sohrab js,310,20,6200,,,,,,,,,,,,
886,Nest Qinque,250,20,5000,,,,,,,,,,,,
887,Back Cover 70,729,30,21870,,,,,,,,,,,,
888,Housing 70 Black,464,8,3712,,,,,,,,,,,,
889,,,,65877,,,,,,,,,,,,
890,Upper Cover Window,228,36,8208,12-04-13,,,,,,,,,,,
891,Back Cover 70,582,30,17460,,,,,,,,,,,,
892,Housing 70,500,8,4000,,,,,,,,,,,,
893,,,,29668,,,,,,,,,,,,
894,Upper Cover Window,226,36,8136,12-05-13,,,,,,,,,,,
895,Back Cover 70,555,30,16650,,,,,,,,,,,,
896,Housing 70,508,8,4064,,,,,,,,,,,,
897,,,,28850,,,,,,,,,,,,
898,Upper Cover Window,573,36,20628,11-06-13,,,,,,,,,,,
899,Back Cover 70,663,30,19890,,,,,,,,,,,,
900,Housing 70,632,8,5056,,,,,,,,,,,,
901,,,,45574,,,,,,,,,,,,
902,Upper Cover Window,401,36,14436,12-09-13,,,,,,,,,,,
903,Upper Cover zxmco,332,36,11952,,,,,,,,,,,,
904,Back Cover 70,606,30,18180,,,,,,,,,,,,
905,Housing 70,660,8,5280,,,,,,,,,,,,
906,,,,49848,,,,,,,,,,,,
907,Upper Cover Window,421,36,15156,12-11-13,,,,,,,,,,,
908,Upper Cover zxmco,515,36,18540,,,,,,,,,,,,
909,Back Cover 70,933,30,27990,,,,,,,,,,,,
910,Housing 70,1014,8,8112,,,,,,,,,,,,
911,,,,69798,,,,,,,,,,,,
912,Upper Cover 70 New,759,36,27324,12-13-13,,,,,,,,,,,
913,Upper Cover Window,644,36,23184,,,,,,,,,,,,
914,Back Cover 70,756,30,22680,,,,,,,,,,,,
915,Housing 70 Black,765,8,6120,,,,,,,,,,,,
916,,,,79308,,,,,,,,,,,,
917,Upper Cover Window,820,36,29520,12-20-13,,,,,,,,,,,
918,Back Cover 70,653,30,19590,,,,,,,,,,,,
919,Housing 70 Black,837,8,6696,,,,,,,,,,,,
920,,,,55806,,,,,,,,,,,,
921,Upper Cover Window,531,36,19116,12-24-13,,,,,,,,,,,
922,Back Cover 70,552,30,16560,,,,,,,,,,,,
923,Housing 70 Black,612,8,4896,,,,,,,,,,,,
924,,,,40572,,,,,,,,,,,,
925,Dial Blank 70,5000,8,40000,12-26-13,,,,,,,,,,,
926,Dial Blank Qinque,1000,12,12000,,,,,,,,,,,,
927,Upper cover Qinque ,498,45,22410,,,,,,,,,,,,
928,Back cover Qinque,500,20,10000,,,,,,,,,,,,
929,Housing Qinque,500,35,17500,,,,,,,,,,,,
930,Nest Qinque,500,20,10000,,,,,,,,,,,,
931,,,,111910,,,,,,,,,,,,
932,Upper cover Qinque ,552,45,24840,12-30-13,,,,,,,,,,,
933,Back cover Qinque,620,20,12400,,,,,,,,,,,,
934,Housing Qinque,628,35,21980,,,,,,,,,,,,
935,Nest Qinque,540,20,10800,,,,,,,,,,,,
936,Upper Cover Window,728,36,26208,,,,,,,,,,,,
937,Back Cover 70,798,30,23940,,,,,,,,,,,,
938,Housing 70 Black,785,8,6280,,,,,,,,,,,,
939,,,,126448,,,,,,,,,,,,
940,Upper Cover Window,590,36,21240,01-01-14,,,,,,,,,,,
941,Back Cover 70,204,30,6120,,,,,,,,,,,,
942,Housing 70,707,8,5656,,,,,,,,,,,,
943,,,,33016,,,,,,,,,,,,
944,Upper Cover Window,601,36,21636,01-03-14,,,,,,,,,,,
945,Back Cover 70,1014,30,30420,,,,,,,,,,,,
946,Housing 70,540,8,4320,,,,,,,,,,,,
947,,,,56376,,,,,,,,,,,,
948,Upper Cover Window,534,36,19224,01-07-14,,,,,,,,,,,
949,Upper Cover 70 New,504,36,18144,,,,,,,,,,,,
950,Back Cover 70,798,30,23940,,,,,,,,,,,,
951,Housing 70 Black,884,8,7072,,,,,,,,,,,,
952,,,,68380,,,,,,,,,,,,
953,Upper Cover Window,804,36,28944,01-09-14,,,,,,,,,,,
954,Back Cover 70,1287,30,38610,,,,,,,,,,,,
955,Housing 70 Black,783,8,6264,,,,,,,,,,,,
956,,,,73818,,,,,,,,,,,,
957,Upper Cover Window,1033,36,37188,01-10-14,,,,,,,,,,,
958,Back Cover 70,1008,30,30240,,,,,,,,,,,,
959,Housing 70 Black,1004,8,8032,,,,,,,,,,,,
960,,,,75460,,,,,,,,,,,,
961,Dial Blank Qinque,1000,12,12000,01-13-14,,,,,,,,,,,
962,Dial Blank 70,3000,8,24000,,,,,,,,,,,,
963,Upper Cover Window,564,36,20304,,,,,,,,,,,,
964,Back Cover 70,756,30,22680,,,,,,,,,,,,
965,Housing 70 Black,696,8,5568,,,,,,,,,,,,
966,,,,84552,,,,,,,,,,,,
967,upper Cover Qinque ,822,45,36990,01-16-14,,,,,,,,,,,
968,Upper Cover Window,511,36,18396,,,,,,,,,,,,
969,Upper Cover Window,320,36,11520,,,,,,,,,,,,
970,Upper Cover Window,337,36,12132,,,,,,,,,,,,
971,Back Cover 70,1212,30,36360,,,,,,,,,,,,
972,Housing 70 Black,1197,8,9576,,,,,,,,,,,,
973,,,,124974,,,,,,,,,,,,
974,Upper cover Sohrab Leader,415,45,18675,01-17-14,,,,,,,,,,,
975,Back Cover qinque,750,20,15000,,,,,,,,,,,,
976,Nest Qinque,730,20,14600,,,,,,,,,,,,
977,,,,48275,,,,,,,,,,,,
978,Upper Cover Window,459,36,16524,01-23-14,,,,,,,,,,,
979,Back Cover 70,344,30,10320,,,,,,,,,,,,
980,Housing 70 Black,350,8,2800,,,,,,,,,,,,
981,,,,29644,,,,,,,,,,,,
982,Upper Cover Window,560,36,20160,01-24-14,,,,,,,,,,,
983,Upper Cover Unique,5,36,180,,,,,,,,,,,,
984,Back Cover 70,315,30,9450,,,,,,,,,,,,
985,Housing 70 Black,354,8,2832,,,,,,,,,,,,
986,,,,32622,,,,,,,,,,,,
987,Upper Cover Qinque ,334,45,15030,01-27-14,,,,,,,,,,,
988,back Cover qinque,1010,20,20200,,,,,,,,,,,,
989,Housing qinque,1005,35,35175,,,,,,,,,,,,
990,Nest Qinque,1022,20,20440,,,,,,,,,,,,
991,,,,90845,,,,,,,,,,,,
992,dial blank Qinque,1000,12,12000,01-27-14,,,,,,,,,,,
993,dial blank Sohrab js,5000,8,40000,,,,,,,,,,,,
994,Upper Cover Window,647,36,23292,,,,,,,,,,,,
995,Back Cover 70,333,30,9990,,,,,,,,,,,,
996,Housing 70 Black,360,8,2880,,,,,,,,,,,,
997,,,,88162,,,,,,,,,,,,
998,Upper Cover Window,576,36,20736,01-30-14,,,,,,,,,,,
999,Upper Cover Window,524,36,18864,01-31-14,,,,,,,,,,,
1000,Back Cover 70,600,30,18000,,,,,,,,,,,,
1001,Housing 70 Black,603,8,4824,,,,,,,,,,,,
1002,,,,41688,,,,,,,,,,,,
1003,Upper Cover Window,629,36,22644,02-01-14,,,,,,,,,,,
1004,Back Cover 70,897,30,26910,,,,,,,,,,,,
1005,Housing 70 Black,826,8,6608,,,,,,,,,,,,
1006,,,,56162,,,,,,,,,,,,
1007,Upper Cover Window,544,36,19584,02-03-14,,,,,,,,,,,
1008,Back Cover 70,580,30,17400,,,,,,,,,,,,
1009,Housing 70 Black,671,8,5368,,,,,,,,,,,,
1010,,,,42352,,,,,,,,,,,,
1011,Upper Cover Qinque ,411,45,18495,02-05-14,,,,,,,,,,,
1012,Upper Cover qinque ,751,45,33795,02-06-14,,,,,,,,,,,
1013,Upper Cover Window,610,36,21960,02-08-14,,,,,,,,,,,
1014,Back Cover 70,535,30,16050,,,,,,,,,,,,
1015,Housing 70 Black,666,8,5328,,,,,,,,,,,,
1016,,,,43338,,,,,,,,,,,,
1017,Upper Cover Window,1017,36,36612,02-11-14,,,,,,,,,,,
1018,Housing 70,708,8,5664,,,,,,,,,,,,
1019,Housing Qinque,532,35,18620,,,,,,,,,,,,
1020,back Cover Qinque,540,20,10800,,,,,,,,,,,,
1021,Nest Qinque,560,20,11200,,,,,,,,,,,,
1022,Dial blank Qinque,1000,12,12000,,,,,,,,,,,,
1023,,,,94896,,,,,,,,,,,,
1024,Back Cover 70,1260,30,37800,02-13-14,,,,,,,,,,,
1025,Housing 70 Black,924,8,7392,,,,,,,,,,,,
1026,Upper Cover Window,564,36,20304,,,,,,,,,,,,
1027,,,,65496,,,,,,,,,,,,
1028,Upper Cover Unique,262,36,9432,02-17-14,,,,,,,,,,,
1029,Upper Cover Window,502,36,18072,,,,,,,,,,,,
1030,Upper Cover Qinque ,503,45,22635,,,,,,,,,,,,
1031,Back Cover 70,639,30,19170,,,,,,,,,,,,
1032,Housing 70 Black,531,8,4248,,,,,,,,,,,,
1033,,,,73557,,,,,,,,,,,,
1034,Dial Blank 70,1000,8,8000,02-21-14,,,,,,,,,,,
1035,Dial Blank 70,5000,8,40000,,,,,,,,,,,,
1036,Upper Cover Window,995,36,35820,,,,,,,,,,,,
1037,Back Cover 70,1116,30,33480,,,,,,,,,,,,
1038,Housing 70 Black,798,8,6384,,,,,,,,,,,,
1039,,,,123684,,,,,,,,,,,,
1040,Upper Cover Window,814,36,29304,02-22-14,,,,,,,,,,,
1041,Back Cover 70,1024,30,30720,,,,,,,,,,,,
1042,Housing 70 Black,531,8,4248,,,,,,,,,,,,
1043,,,,64272,,,,,,,,,,,,
1044,Housing qinque,1003,35,35105,02-26-14,,,,,,,,,,,
1045,back Cover qinque,1040,20,20800,,,,,,,,,,,,
1046,nest Qinque,1060,20,21200,,,,,,,,,,,,
1047,,,,77105,,,,,,,,,,,,
1048,Upper Cover Qinque ,540,45,24300,02-27-14,,,,,,,,,,,
1049,housing Qinque,498,35,17430,,,,,,,,,,,,
1050,Back Cover Qinque,294,20,5880,,,,,,,,,,,,
1051,Nest Qinque,460,20,9200,,,,,,,,,,,,
1052,,,,56810,,,,,,,,,,,,
1053,Upper Cover 70 New,535,36,19260,02-28-14,,,,,,,,,,,
1054,Upper Cover Window,468,36,16848,,,,,,,,,,,,
1055,Back Cover 70,1056,30,31680,,,,,,,,,,,,
1056,Housing 70 Black,960,8,7680,,,,,,,,,,,,
1057,,,,75468,,,,,,,,,,,,
1058,upper cover qinque ,600,45,27000,03-03-14,,,,,,,,,,,
1059,Upper Cover Window,540,36,19440,,,,,,,,,,,,
1060,Back Cover 70,639,30,19170,,,,,,,,,,,,
1061,Housing 70,600,8,4800,,,,,,,,,,,,
1062,dial blank qinque,760,12,9120,,,,,,,,,,,,
1063,,,,79530,,,,,,,,,,,,
1064,Upper Cover Window,546,36,19656,03-04-14,,,,,,,,,,,
1065,Back Cover 70,1095,30,32850,,,,,,,,,,,,
1066,Housing 70 Black,975,8,7800,,,,,,,,,,,,
1067,,,,60306,,,,,,,,,,,,
1068,Dial blank qinque,520,12,6240,03-11-14,,,,,,,,,,,
1069,Upper Cover Window,836,36,30096,,,,,,,,,,,,
1070,Back Cover 70,900,30,27000,,,,,,,,,,,,
1071,Housing 70 Black,843,8,6744,,,,,,,,,,,,
1072,upper cover leader,214,45,9630,,,,,,,,,,,,
1073,,,,79710,,,,,,,,,,,,
1074,Upper Cover Window,1036,36,37296,03-12-14,,,,,,,,,,,
1075,Upper Cover Unique,188,36,6768,,,,,,,,,,,,
1076,Back Cover 70,888,30,26640,,,,,,,,,,,,
1077,Housing 70 Black,879,8,7032,,,,,,,,,,,,
1078,,,,77736,,,,,,,,,,,,
1079,upper cover qinque ,367,45,16515,03-17-14,,,,,,,,,,,
1080,Housing qinque,336,35,11760,,,,,,,,,,,,
1081,Upper Cover Window,640,36,23040,,,,,,,,,,,,
1082,Back Cover 70,586,30,17580,,,,,,,,,,,,
1083,Housing 70 Black,672,8,5376,,,,,,,,,,,,
1084,,,,74271,,,,,,,,,,,,
1085,Upper Cover Window,826,36,29736,03-19-14,,,,,,,,,,,
1086,Back Cover 70,891,30,26730,,,,,,,,,,,,
1087,Housing 70 Black,906,8,7248,,,,,,,,,,,,
1088,,,,63714,,,,,,,,,,,,
1089,Upper Cover Window,996,36,35856,03-20-14,,,,,,,,,,,
1090,Back Cover 70,975,30,29250,,,,,,,,,,,,
1091,Housing 70 Black,1044,8,8352,,,,,,,,,,,,
1092,,,,73458,,,,,,,,,,,,
1093,upper cover qinque ,1008,45,45360,03-29-14,,,,,,,,,,,
1094,Back cover qinque,1040,20,20800,,,,,,,,,,,,
1095,Housing qinque,1003,35,35105,,,,,,,,,,,,
1096,Nest qinque,1100,20,22000,,,,,,,,,,,,
1097,,,,123265,,,,,,,,,,,,
1098,Upper Cover Window,1010,36,36360,04-01-14,,,,,,,,,,,
1099,Back Cover 70,1036,30,31080,,,,,,,,,,,,
1100,Housing 70 Black,1092,8,8736,,,,,,,,,,,,
1101,,,,76176,,,,,,,,,,,,
1102,Dial blank qinque (Amir,1000,12,12000,05-Apr-14,,,,,,,,,,,
1103,Upper Cover Window,1014,36,36504,,,,,,,,,,,,
1104,Back Cover 70,796,30,23880,,,,,,,,,,,,
1105,Housing Black 70,1579,8,12632,,,,,,,,,,,,
1106,,,,85016,,,,,,,,,,,,
1107,Upper cover zemco,1045,36,37620,04-10-14,,,,,,,,,,,
1108,Back Cover 70,1074,30,32220,,,,,,,,,,,,
1109,Housing 70 Black,1118,8,8944,,,,,,,,,,,,
1110,,,,78784,,,,,,,,,,,,
1111,Upper cover window ,102,36,3672,21-04-14,,,,,,,,,,,
1112,Upper Cover unique,147,36,5292,,,,,,,,,,,,
1113,Back Cover 70,981,30,29430,,,,,,,,,,,,
1114,Housing 70 ,1230,8,9840,,,,,,,,,,,,
1115,,,,48234,,,,,,,,,,,,
1116,Upper Cover Window,1016,36,36576,24-04-14,,,,,,,,,,,
1117,Back Cover 70,1023,30,30690,,,,,,,,,,,,
1118,Housing 70 ,1020,8,8160,,,,,,,,,,,,
1119,,,,75426,,,,,,,,,,,,
1120,Upper Cover Window,1026,36,36936,28-04-14,,,,,,,,,,,
1121,Back Cover 70,799,30,23970,,,,,,,,,,,,
1122,Housing 70 ,1066,8,8528,,,,,,,,,,,,
1123,,,,69434,,,,,,,,,,,,
1124,Dial Blank Qinque,1000,12,12000,04-30-14,,,,,,,,,,,
1125,Upper cover qinque,1002,45,45090,,,,,,,,,,,,
1126,Backcoverqinque,1000,20,20000,,,,,,,,,,,,
1127,Housing Qinque,1000,35,35000,,,,,,,,,,,,
1128,Nest Qinque,1030,20,20600,,,,,,,,,,,,
1129,,,,112690,,,,,,,,,,,,
1130,Dial Blank 70,1000,8,8000,05-07-14,,,,,,,,,,,
1131,Upper Cover Window,1041,36,37476,,,,,,,,,,,,
1132,Housing  70 black,791,8,6328,,,,,,,,,,,,
1133,,,,51804,,,,,,,,,,,,
1134,Back Cover 70,423,30,12690,05-08-14,,,,,,,,,,,
1135,Housing  70 black,476,8,3808,,,,,,,,,,,,
1136,,,,16498,,,,,,,,,,,,
1137,Upper Cover  window,636,36,22896,05-09-14,,,,,,,,,,,
1138,Upper Cover  window,636,36,22896,10-05-14,,,,,,,,,,,
1139,Upper Cover Window,178,36,6408,12-05-14,,,,,,,,,,,
1140,Back Cover 70,980,30,29400,12-05-14,,,,,,,,,,,
1141,,,,35808,,,,,,,,,,,,
1142,Back Cover 70,746,30,22380,13-05-14,,,,,,,,,,,
1143,Housing  70 black,735,8,5880,13-05-14,,,,,,,,,,,
1144,Upper Cover  window,661,36,23796,13-05-14,,,,,,,,,,,
1145,,,,52056,,,,,,,,,,,,
1146,Dial Blank 70,1000,8,8000,14-05-14,,,,,,,,,,,
1147,Upper Cover  window,616,36,22176,15-05-14,,,,,,,,,,,
1148,Back Cover 70,708,30,21240,,,,,,,,,,,,
1149,Housing  70 black,684,8,5472,,,,,,,,,,,,
1150,,,,48888,,,,,,,,,,,,
1151,Upper Cover  window,636,36,22896,16-05-14,,,,,,,,,,,
1152,Backcover 70,666,30,19980,,,,,,,,,,,,
1153,Housing  70 black,504,8,4032,,,,,,,,,,,,
1154,,,,46908,,,,,,,,,,,,
1155,Upper Cover Window,709,36,25524,20-05-14,,,,,,,,,,,
1156,Back Cover 70,798,30,23940,,,,,,,,,,,,
1157,Housing  70 black,556,8,4448,,,,,,,,,,,,
1158,,,,53912,,,,,,,,,,,,
1159,Upper Cover Window,730,36,26280,23-05-14,,,,,,,,,,,
1160,Back Cover 70,757,30,22710,,,,,,,,,,,,
1161,Housing  70 black,780,8,6240,,,,,,,,,,,,
1162,,,,55230,,,,,,,,,,,,
1163,Back Cover 70,834,30,25020,24-05-14,,,,,,,,,,,
1164,Housing  70 black,900,8,7200,,,,,,,,,,,,
1165,,,,32220,,,,,,,,,,,,
1166,Upper Cover  window,852,36,30672,27-05-14,,,,,,,,,,,
1167,Dial blank qinque,1000,12,12000,,,,,,,,,,,,
1168,,,,42672,,,,,,,,,,,,
1169,Upper Cover  Qinque,1068,45,48060,29-05-14,,,,,,,,,,,
1170,Houseing qinque ,1090,35,38150,,,,,,,,,,,,
1171,Nest Qinque,1050,20,21000,,,,,,,,,,,,
1172,Back Cover Qinque,1080,20,21600,,,,,,,,,,,,
1173,,,,128810,,,,,,,,,,,,
1174,Upper Cover  window,797,36,28692,30-05-14,,,,,,,,,,,
1175,Back Cover 70,418,30,12540,,,,,,,,,,,,
1176,Houseing 70 Black,750,8,6000,,,,,,,,,,,,
1177,,,,47232,,,,,,,,,,,,
1178,Upper Cover Window,450,36,16200,31-05-14,,,,,,,,,,,
1179,Back Cover 70,609,30,18270,,,,,,,,,,,,
1180,Housing  70 black,609,8,4872,,,,,,,,,,,,
1181,,,,39342,,,,,,,,,,,,
1182,Upper Cover  window,376,36,13536,02-06-14,,,,,,,,,,,
1183,Back Cover 70,585,30,17550,,,,,,,,,,,,
1184,Houseing 70 Black,624,8,4992,,,,,,,,,,,,
1185,,,,36078,,,,,,,,,,,,
1186,Upper Cover  window,813,36,29268,04-06-14,,,,,,,,,,,
1187,Back Cover 70,777,30,23310,,,,,,,,,,,,
1188,houseing 70 Black,796,8,6368,,,,,,,,,,,,
1189,,,,58946,,,,,,,,,,,,
1190,Upper Cover  window,470,36,16920,05-06-14,,,,,,,,,,,
1191,Back Cover 70,492,30,14760,,,,,,,,,,,,
1192,houseing 70 Black,477,8,3816,,,,,,,,,,,,
1193,,,,35496,,,,,,,,,,,,
1194,Upper Cover  window,742,36,26712,10-06-14,,,,,,,,,,,
1195,Back Cover 70,816,30,24480,,,,,,,,,,,,
1196,houseing 70 Black,804,8,6432,,,,,,,,,,,,
1197,,,,57624,,,,,,,,,,,,
1198,Upper Cover  window,365,36,13140,13-06-14,,,,,,,,,,,
1199,Back Cover 70,666,30,19980,,,,,,,,,,,,
1200,houseing 70 Black,310,8,2480,,,,,,,,,,,,
1201,,,,35600,,,,,,,,,,,,
1202,Upper Cover  window,1084,36,39024,17-06-14,,,,,,,,,,,
1203,Back Cover 70,1125,30,33750,,,,,,,,,,,,
1204,Hoiusing 70 black,984,8,7872,,,,,,,,,,,,
1205,,,,80646,,,,,,,,,,,,
1206,Upper Cover  UNIQUI,177,36,6372,20-06-14,,,,,,,,,,,
1207,Upper Cover Zxmco,813,36,29268,,,,,,,,,,,,
1208,Back Cover 70,995,30,29850,,,,,,,,,,,,
1209,Houseing 70 Black,1032,8,8256,,,,,,,,,,,,
1210,,,,73746,,,,,,,,,,,,
1211,upper Cover  zxmco,524,36,18864,23-06-14,,,,,,,,,,,
1212,Back Cover 70,570,30,17100,,,,,,,,,,,,
1213,,,,35964,,,,,,,,,,,,
1214,Back Cover 70,713,36,21390,25-06-14,,,,,,,,,,,
1215,Hosing 70Black,888,30,7104,,,,,,,,,,,,
1216,,,,28494,,,,,,,,,,,,
1217,Upper Cover  window,583,36,20988,26-06-14,,,,,,,,,,,
1218,Back Cover 70,636,30,19080,,,,,,,,,,,,
1219,Hosing 70Black,624,8,4992,,,,,,,,,,,,
1220,,,,45060,,,,,,,,,,,,
1221,Upper Cover  window,647,36,23292,27-06-14,,,,,,,,,,,
1222,Back Cover 70,839,30,25170,,,,,,,,,,,,
1223,Hoiusing 70,1592,8,12736,,,,,,,,,,,,
1224,,,,61198,,,,,,,,,,,,
1225,Upper Cover  window,889,36,32004,28-06-14,,,,,,,,,,,
1226,Back Cover 70,1253,30,37590,,,,,,,,,,,,
1227,Hosing 70Black,1452,8,11616,,,,,,,,,,,,
1228,,,,81210,,,,,,,,,,,,
1229,Upper Cover  window,140,36,5040,01-07-14,,,,,,,,,,,
1230,Back Cover 70,1085,30,32550,,,,,,,,,,,,
1231,Hoiusing 70 black,1108,8,8864,,,,,,,,,,,,
1232,,,,46454,,,,,,,,,,,,
1233,Upper Cover  window,897,36,32292,02-07-14,,,,,,,,,,,
1234,Back Cover 70,906,30,27180,,,,,,,,,,,,
1235,Hoiusing 70 Black,893,8,7144,,,,,,,,,,,,
1236,,,,66616,,,,,,,,,,,,
1237,upper Cover  Qinque,1003,45,45135,03-07-14,,,,,,,,,,,
1238,hosing qinque,1000,35,35000,,,,,,,,,,,,
1239,nest Qinque,1000,20,20000,,,,,,,,,,,,
1240,back Coverqinque,1000,20,20000,,,,,,,,,,,,
1241,,,,120135,,,,,,,,,,,,
1242,Upper Cover  window,600,36,21600,04-07-14,,,,,,,,,,,
1243,Back Cover 70,666,30,19980,,,,,,,,,,,,
1244,Hosing 70Black,676,8,5408,,,,,,,,,,,,
1245,,,,46988,,,,,,,,,,,,
1246,Upper Cover  window,316,36,11376,08-07-14,,,,,,,,,,,
1247,Back Cover 70,615,30,18450,,,,,,,,,,,,
1248,Hosing 70Black,636,8,5088,,,,,,,,,,,,
1249,,,,34914,,,,,,,,,,,,
1250,Upper Cover Window,532,36,19152,09-07-14,,,,,,,,,,,
1251,Back Cover 70,703,30,21090,,,,,,,,,,,,
1252,Hosing 70Black,756,8,6048,,,,,,,,,,,,
1253,,,,46290,,,,,,,,,,,,
1254,Upper Cover  window,811,36,29196,10-07-14,,,,,,,,,,,
1255,Back Cover 70,794,30,23820,,,,,,,,,,,,
1256,Hosing 70Black,561,8,4488,,,,,,,,,,,,
1257,dial Blank qinque,1000,12,12000,,,,,,,,,,,,
1258,,,,69504,,,,,,,,,,,,
1259,upper Cover  uNIQUI,94,36,3384,17-07-14,,,,,,,,,,,
1260,Upper Cover  window,1069,36,38484,,,,,,,,,,,,
1261,Back Cover 70,958,30,28740,,,,,,,,,,,,
1262,Hosing 70Black,341,8,2728,,,,,,,,,,,,
1263,,,,73336,,,,,,,,,,,,
1264,upper Cover  zxmco,1496,36,53856,18-07-14,,,,,,,,,,,
1265,Back Cover 70,506,30,15180,,,,,,,,,,,,
1266,Hosing 70Black,853,8,6824,,,,,,,,,,,,
1267,,,,75860,,,,,,,,,,,,
1268,upper Cover  uNIQUI,94,36,3384,21-07-14,,,,,,,,,,,
1269,Upper Cover  window,1012,36,36432,27-07-14,,,,,,,,,,,
1270,Back Cover 70,1113,30,33390,,,,,,,,,,,,
1271,Hosing 70Black,1032,8,8256,,,,,,,,,,,,
1272,,,,78078,,,,,,,,,,,,
1273,Upper Cover  window,1051,36,37836,06-08-14,,,,,,,,,,,
1274,Back Cover 70,1010,30,30300,,,,,,,,,,,,
1275,Hosing 70Black,1016,8,8128,,,,,,,,,,,,
1276,,,,76264,,,,,,,,,,,,
1277,Upper Cover  Qinque,396,45,17820,09-08-14,,,,,,,,,,,
1278,Back Cover qinque,1000,20,20000,,,,,,,,,,,,
1279,Hosing qinque,558,35,19530,,,,,,,,,,,,
1280,Nest Qinque,1000,20,20000,,,,,,,,,,,,
1281,Upper Cover  window,188,36,6768,,,,,,,,,,,,
1282,Back Cover 70,538,30,16140,,,,,,,,,,,,
1283,upper Cover  uNIQUI,282,36,10152,,,,,,,,,,,,
1284,,,,110410,,,,,,,,,,,,
1285,Upper Cover  window,520,36,18720,12-08-14,,,,,,,,,,,
1286,Back Cover 70,863,30,25890,,,,,,,,,,,,
1287,Hosing 70Black,1575,8,12600,,,,,,,,,,,,
1288,upper Cover  Qinque,180,45,8100,,,,,,,,,,,,
1289,,,,65310,,,,,,,,,,,,
1290,dial Blank qinque,1000,12,12000,12-08-14,,,,,,,,,,,
1291,Upper Cover  window,1567,36,56412,13-08-14,,,,,,,,,,,
1292,Back Cover 70,220,30,6600,,,,,,,,,,,,
1293,Hosing 70Black,504,8,4032,,,,,,,,,,,,
1294,upper Cover  Qinque,430,45,19350,,,,,,,,,,,,
1295,,,,86394,,,,,,,,,,,,
1296,Upper Cover  window,797,36,28692,15-08-14,,,,,,,,,,,
1297,Back Cover 70,522,30,15660,,,,,,,,,,,,
