Sr.,,Particulars,Qty,Rate,Total,Date,
52,,,,,42540,,
1,,Dial Blank 125,200,9,1800,23-May-12,
2,,Dial Blank Qinque,200,12,2400,,
3,,Upper Cover Window,148,36,5328,,
4,,Upper Cover Window,323,36,11628,,
5,,Back Cover 70,415,30,12450,,
6,,,,,33606,,
7,,Dial Blank Qinque,125,12,1500,28-May-12,
8,,Dial Blank 125,1400,9,12600,,
9,,Upper Cover Window,395,36,14220,,
10,,Back Cover 70,289,30,8670,,
11,,,,,36990,,
12,,Cover  set 125,200,120,24000,05-30-12,
13,,Upper Cover Window,272,36,9792,,
14,,,,,33792,,
15,,Dial Blank Qinque,1000,12,12000,04-Jun-12,
16,,Upper Cover Window,518,36,18648,,
17,,Back Cover 70,658,30,19740,,
18,,,,,50388,,
19,,Upper Cover 70 Window,518,36,18648,05-Jun-12,
20,,Back Cover 70,437,30,13110,,
21,,Housinhg 125 White,370,,31758,,
22,,Back cover 70 gare Counter,168,30,5040,07-Jun-12,
23,,Housing 70 gare counter,130,9,1170,,
24,,Cover Set 125 white hole,665,125,83125,,
25,,Back Cover 70 gare counter,278,30,8340,,
26,,Housing 70 gare counter,330,9,2970,,
27,,,,,100645,,
28,,Cover  set 125 white hole,321,125,40125,09-Jun-12,
29,,Upper Cover 70 Window,444,36,15984,,
30,,Back Cover 70,732,30,21960,,
31,,,,,37944,,
32,,Upper Cover Window,444,36,15984,12-Jun-12,
33,,Back Cover 70,732,30,21960,,
34,,,,,37944,,
35,,Upper Cover Window,666,36,23976,13-Jun-12,
36,,Back Cover 70,306,30,9180,,
37,,Cover  set 125,138,125,17250,,
38,,,,,50406,,
39,,Upper Cover Window,74,36,2664,16-Jun-12,
40,,Back Cover 70,615,30,18450,,
41,,Upper Cover Window,439,36,15804,,
42,,,,,36918,,
43,,Upper Cover Window,444,36,15984,18-Jun-12,
44,,Back Cover 70,304,30,9120,,
45,,,,,25104,,
46,,Upper Cover Window,370,36,13320,06-19-12,
47,,Back Cover 70,204,30,6120,,
48,,back Cover 70 gare Counter,238,30,7140,,
49,,Housing 70 gare Counter,410,9,3690,,
50,,,,,30270,,
1,,Back Cover 70 Hole,701,30,21030,21-Jun-12,
2,,Upper Cover Window,545,36,19620,22-Jun-12,
3,,Back Cover 70,263,30,7890,,
4,,,,,27510,,
5,,Upper Cover 70 Window,294,36,10584,27-Jun-12,
6,,Back Cover 70 hole,381,30,11430,,
7,,Back Cover 70,271,30,8130,,
8,,,,,30144,,
9,,Upper Cover 70 Window,370,36,13320,07-03-12,
10,,Upper Cover 70 Window,505,36,18180,,
11,,Upper Cover 70 Window,305,36,10980,,
12,,Back Cover 70,235,30,7050,,
13,,Back Cover 70 hole,252,30,7560,,
14,,,,,57090,,
15,,upper Cover 70 Window,370,36,13320,04-Jul-12,
16,,Back Cover 70,245,30,7350,,
17,,Back cover 70 hole,250,30,7500,,
18,,,,,28170,,
19,,Upper Cover 70,296,36,10656,07-Jul-12,
20,,Back Cover 70,556,30,16680,,
21,,,,,27336,,
22,,Back Cover 70,1217,30,36510,07-Jul-12,
23,,Upper Cover Window,610,36,21960,09-Jul-12,
24,,Back Cover 70,435,30,13050,,
25,,Back Cover 70 Hole,140,30,4200,,
26,,Upper Cover 70,450,36,16200,,
27,,,,,55410,,
28,,Upper Cover Window,296,36,10656,11-Jul-12,
29,,Back Cover 70 Hole,325,30,9750,,
30,,Back Cover 70,501,30,15030,,
31,,,,,35436,,
32,,Upper Cover Window,446,36,16056,12-Jul-12,
33,,Back Cover 70,888,30,26640,,
34,,,,,42696,,
35,,Upper Cover Window,740,36,26640,14-Jul-12,
36,,Back Cover 70,537,30,16110,,
37,,,,,42750,,
38,,Upper Cover Window,563,36,20268,16-Jul-12,
39,,Back Cover 70,740,30,22200,,
40,,,,,42468,,
41,,Upper Cover Window,627,36,22572,18-Jul,
42,,Back Cover 70,520,30,15600,,
43,,,,,38172,,
44,,Upper Cover Window,628,36,22608,20-Jul-12,
45,,Back Cover 70,677,30,20310,,
46,,Dial Blank 125,1650,9,14850,,
47,,,,,57768,,
48,,Upper Cover Window,562,36,20232,21-Jul-12,
49,,Back Cover 70,597,30,17910,,
50,,,,,38142,,
51,,back Cover 70 Gare Counter,516,30,15480,23-Jul-12,
52,,Housing 70 gare Counter,510,9,4590,,
53,,Back Cover 70 Hole,234,30,7020,,
54,,,,,27090,,
55,,Upper Cover 70,295,36,10620,24-Jul-12,
56,,Upper Cover Window,298,36,10728,,
57,,Back Cover 70 Hole,370,30,11100,,
58,,Back Cover 70,461,30,13830,,
59,,,,,46278,,
60,,Upper Cover Window,409,36,14724,25-Jul-12,
61,,Upper Cover 70,261,36,9396,,
62,,Back Cover 70,673,30,20190,,
63,,,,,44310,,
64,,Upper Cover Unique,573,36,20628,26-Jul-12,
65,,Back Cover 70,931,30,27930,,
66,,Rubber Ring set,500,35,17500,,
67,,,,,66058,,
68,,Upper Cover 70,826,36,29736,28-Jul-12,
69,,Back Cover 70,828,30,24840,,
70,,,,,54576,,
71,,Cover  set 125,200,125,25000,28-Jul-12,
72,,Upper Cover Window,182,36,6552,,
73,,Back Cover 70,453,30,13590,,
74,,Back Cover 70 Hole,195,30,5850,,
75,,,,,50992,,
76,,Upper Cover 70 New,502,36,18072,31-Jul-12,
77,,Back Cover 70,699,30,20970,,
78,,,,,39042,,
79,,Cover  set 125,400,125,50000,02-Aug-12,
80,,Upper Cover Window,230,36,8280,,
81,,,,,58280,,
82,,Upper Cover Window,385,36,13860,04-Aug-12,
83,,Back Cover 70,451,30,13530,,
84,,Back Cover 70 Hole,271,30,8130,,
85,,,,,35520,,
86,,Upper Cover Unique,316,36,11376,06-Aug-12,
87,,Back Cover 70 Hole,500,30,15000,,
88,,Upper Cover Window,866,36,31176,,
89,,Upper Cover Unique,505,36,18180,,
90,,Back Cover 70 Hole,133,30,3990,,
91,,,,,79722,,
92,,Upper Cover Unique,266,36,9576,07-Aug-12,
93,,Back Cover 70 Hole,631,30,18930,,
94,,,,,28506,,
95,,Upper Cover Window,252,36,9072,08-Aug-12,
96,,Back Cover 70 Hole,306,30,9180,,
97,,,,,18252,,
98,,Upper Cover Window,222,36,7992,09-Aug-12,
99,,Back Cover 70 Hole,214,30,6420,,
100,,,,,14412,,
101,,Dial Blank Qinque,500,12,6000,11-Aug-12,
102,,Upper Cover Window,307,36,11052,,
103,,Upper Cover 70 New,205,36,7380,,
104,,Back Cover 70,269,30,8070,,
105,,,,,32502,,
106,,Upper Cover Window,475,36,17100,13-Aug-12,
107,,Back Cover 70,585,30,17550,,
108,,,,,34650,,
109,,Upper Cover Window,610,36,21960,14-Aug-12,
110,,Back Cover 70,603,30,18090,,
111,,,,,40050,,
112,,Upper Cover Window,356,36,12816,16-Aug-12,
113,,Back Cover70 Hole,765,30,22950,,
114,,,,,35766,,
115,,Upper Cover Window,377,36,13572,17-Aug-12,
116,,Back Cover 70 Hole,300,30,9000,,
117,,Back Cover 70,651,30,19530,,
118,,,,,42102,,
119,,Upper Cover Unique,744,36,26784,27-Aug-12,
120,,Upper Cover Window,516,36,18576,,
121,,Cover Set Racer,208,125,26000,,
122,,Dial Blank Ravi,360,12,4320,,
123,,,,,75680,,
124,,Upper Cover Window,540,36,19440,28-Aug-12,
125,,Upper Cover Unique,296,36,10656,,
126,,Back Cover 70 Hole,499,30,14970,,
127,,,,,45066,,
128,,Upper Cover Window,522,36,18792,29-Aug-12,
129,,Upper Cover Unique,284,36,10224,,
130,,Back Cover 70 Hole,583,30,17490,,
131,,,,,46506,,
132,,Upper Cover Window,696,36,25056,31-Aug-12,
133,,Back Cover 70,544,30,16320,,
134,,Back Cover 70 Hole,276,30,8280,,
135,,,,,49656,,
136,,Dial Blank 125,1000,9,9000,01-Sep-12,
137,,Upper Cover Unique,744,36,26784,,
138,,Upper Cover Window,452,36,16272,,
139,,Back Cover 70 Hole,60,30,1800,,
140,,,,,53856,,
141,,Upper Cover Window,278,36,10008,04-Sep-12,
142,,Back Cover 70,628,30,18840,,
143,,Back Cover 70 Hole,492,30,14760,,
144,,,,,43608,,
145,,Upper Cover Window,518,36,18648,05-Sep-12,
146,,Back Cover 70,555,30,16650,,
147,,Back Cover 70 Hole,407,30,12210,,
148,,,,,47508,,
149,,Upper Cover Window,794,36,28584,06-Sep-12,
150,,Back Cover 70,222,30,6660,,
151,,Back Cover 70 Hole,727,30,21810,,
152,,,,,57054,,
153,,Back Cover 70,408,30,12240,07-Sep-12,
154,,Back Cover 70 Hole,777,30,23310,,
155,,Houing 70 Blue,2047,9,18423,,
156,,,,,53973,,
157,,Upper Cover Window,758,36,27288,07-Sep-12,
158,,Cover Set Ravi,224,125,28000,,
159,,,,,55288,,
160,,Upper Cover Window,618,36,22248,10-Sep-12,
161,,Back Cover 70,271,30,8130,,
162,,Back Cover 70 Hole,847,30,25410,,
163,,,,,55788,,
164,,Upper Cover Window,426,36,15336,11-Sep-12,
165,,Back Cover 70,435,30,13050,,
166,,Back Cover gare counter,340,30,10200,,
167,,Houing 70 gare counter,320,9,2880,,
168,,,,,41466,,
169,,Upper Cover Window,368,36,13248,12-Sep-12,
170,,Upper Cover 70 New,321,36,11556,,
171,,Back Cover 70,1299,30,38970,,
172,,,,,63774,,
173,,Upper Cover Window,610,36,21960,13-Sep-12,
174,,Back Cover 70 Hole,932,30,27960,,
175,,Housing Rikshaw small,100,17,1700,,
176,,,,,51620,,
177,,Upper Cover Window,369,36,13284,14-Sep-12,
178,,Upper Cover 70 New,314,36,11304, ,
179,,Back Cover 70 gare Counter,415,30,12450,,
180,,Back Cover 70 Hole,392,30,11760,,
181,,Back Cover 70,211,30,6330,,
182,,,,,55128,,
183,,Upper Cover Window,240,36,8640,15-Sep-12,
184,,Back Cover 70 Hole,520,30,15600,,
185,,Back Cover 70 Hole,508,30,15240,,
186,,Houing Rikshaw Small,500,17,8500,,
187,,,,,47980,,
188,,Upper Cover Window,360,36,12960,17-Sep-12,
189,,Back Cover 70 ,372,30,11160,,
190,,Back Cover 70 Hole,506,30,15180,,
191,,Dial Blank 70,1000,9,9000,,
192,,Cover  set 125,100,125,12500,,
193,,,,,60800,,
194,,Upper Cover Unique,368,36,13248,19-Sep-12,
195,,Upper Cover Window,402,36,14472,,
196,,Back Cover 70,297,30,8910,,
197,,Back Cover 70 Hole,339,30,10170,,
198,,,,,46800,,
199,,Upper Cover Window,643,36,23148,20-Sep-12,
200,,Back Cover 70,306,30,9180,,
201,,Back Cover 70 Hole,308,30,9240,,
202,,Rubber Ring Small Inner,550,5,2750,,
203,,Rubber ring Outer,500,5,2500,,
204,,,,,46818,,
205,,Upper Cover Window,762,36,27432,25-Sep-12,
206,,Back Cover 70,402,30,12060,,
207,,Housing 70,1033,9,9297,,
208,,,,,48789,,
209,,Dial Blank 125,1000,9,9000,27-Sep-12,
210,,Upper Cover Window,672,36,24192,,
211,,Back Cover 70,676,30,20280,,
212,,Housing Rikshaw small,500,17,8500,,
213,,Rubber ring Outer,500,5,2500,,
214,,Rubber Ring Small Inner,550,5,2750,,
215,,,,,67222,,
216,,Upper Cover Unique,661,36,23796,27-Sep-12,
217,,Back Cover 70,672,30,20160,,
218,,,,,43956,,
219,,Cover  set 125,200,125,25000,29-Sep-12,
220,,Back Cover 70,399,30,11970,,
221,,,,,36970,,
222,,Upper Cover Unique,536,36,19296,02-Oct-12,
223,,Upper Cover Window,296,36,10656,,
224,,Upper Cover 70 new,314,36,11304,,
225,,Back Cover 70 Hole,859,30,25770,,
226,,,,,67026,,
227,,Upper Cover Unique,894,36,32184,05-Oct-12,
228,,Housing 70,867,9,7803,,
229,,back Cover 125,200,20,4000,,
230,,,,,43987,,
231,,Upper Cover window,787,36,28332,08-Oct-12,
232,,Upper Cover Unique,240,36,8640,,
233,,,,,36972,,
234,,Dial Blank 125,1000,9,9000,10-Oct-12,
235,,Upper cover Unique,157,36,5652,,
236,,Upper Cover Window,758,36,27288,,
237,,Back Cover 70,255,30,7650,,
238,,Back Cover 70 Hole,426,30,12780,,
239,,Housing Ravi,100,10.9,1090,,
240,,,,,63460,,
241,,Upper Cover Window,453,36,16308,11-Oct-12,
242,,Back Cover 70 Hole,1049,30,31470,,
243,,Houing 70 Black,240,9,2160,,
244,,Cover set Ravi,112,125,14000,,
245,,,,,63938,,
246,,Upper Cover Window,473,36,17028,12-Oct-12,
247,,Upper Cover Unique,370,36,13320,,
248,,Back Cover 70 Hole,1087,30,32610,,
249,,,,,62958,,
250,,Upper cover Unique,426,36,15336,13-Oct-12,
251,,Upper Cover Window,628,36,22608,,
252,,Back Cover 70,330,30,9900,,
253,,Back Cover 70 Hole,782,30,23460,,
254,,,,,71304,,
255,,Dial Blank Rikshaw,500,9,4500,16-Oct-12,
256,,dial Blank 125ia,174,,0,,
257,,Upper Cover unique,174,36,6264,,
258,,Uupper Cover window,860,36,30960,,
259,,Cover  set 125,100,125,12500,,
260,,,,,54224,,
261,,upper Cover Window,157,36,5652,18-Oct-12,
262,,Housing 125 White,107,,0,,
263,,Cover Set 125,300,125,37500,,
264,,Upper Cover Window,1153,36,41508,,
265,,,,,84660,,
266,,Upper Cover Window,222,36,7992,20-Oct-12,
267,,Back Cover 70 gare Counter,222,30,6660,,
268,,Cove set 125,260,125,32500,,
269,,,,,47152,,
270,,Upper Cover 70,980,36,35280,22-Oct-12,
271,,Cove set 125,300,125,37500,,
272,,,,,72780,,
273,,Upper Cover Window,804,36,28944,31-Oct-12,
274,,Dial Blank 70,806,9,7254,01-Nov-12,
275,,Upper cover 70,536,36,19296,,
276,,Upper Cover unique,548,36,19728,,
277,,Back Cover 70 Gare Counter,553,30,16590,,
278,,,,,62868,,
279,,Dial Blank 70,500,9,4500,02-Nov-12,
280,,Dial Blank 125,1000,9,9000,,
281,,Houing 70 ,640,9,5760,,
282,,Cover  set 125,500,125,62500,,
283,,,,,81760,,
284,,Upper Cover Window,1014,36,36504,05-Nov-12,
285,,back cover 70,691,30,20730,,
286,,,,,57234,,
287,,Upper cover 70 New,508,36,18288,07-Nov-12,
288,,upper Cover window,527,36,18972,,
289,,back Cover 70,1036,30,31080,,
290,,,,,68340,,
291,,Upper Cover Window,1013,36,36468,15-Nov-12,
292,,Back Cover 70,789,30,23670,,
293,,,,,60138,,
294,,Dial Blank Master,500,8,4000,,
295,,Housing Rikshaw small,370,17,6290,,
296,,Nest Rikshaw Small,400,5,2000,,
297,,,,,12290,,
298,,Dial Blank 125,300,9,2700,27-Nov-12,
299,,Cover Set 125,200,125,25000,,
300,,Cover Set Ravi 100cc,160,125,20000,,
301,,upper cover window,521,36,18756,,
302,,,,,66456,,
303,,Upper cover Window,1019,36,36684,28-Nov-12,
304,,Upper Cover Unique,516,36,18576,,
305,,Back cover 70,315,30,9450,,
306,,,,,64710,,
307,,Upper cover Window,564,36,20304,29-Nov-12,
308,,Upper Cover Unique,300,36,10800,,
309,,Back cover 70 Hole,854,30,25620,,
310,,,,,56724,,
311,,Cover Set 125,330,125,41250,30-Nov-12,
312,,Upper Cover Window,150,36,5400,,
313,,Back Cover 70,385,30,11550,,
314,,Back Cover 70 Hole,574,30,17220,,
315,,,,,75420,,
316,,Upper cover window,814,36,29304,03-Dec-12,
317,,Upper Cover unique,314,36,11304,,
318,,Cover  set 125,400,125,50000,,
319,,,,,90608,,
320,,Dial Blank Qinque,320,12,3840,08-Dec-12,
321,,Upper Cover 70 unique,568,36,20448,,
322,,upper Cover window,807,36,29052,,
323,,back cover 70 Hole,190,30,5700,,
324,,Back Cover 70,204,30,6120,,
325,,,,,65160,,
326,,Upper Cover Window,524,36,18864,12-Dec-12,
327,,Upper cover Unique,532,36,19152,,
328,,back cover 70,1044,30,31320,,
329,,Nest Rikshaw Small,700,5,3500,,
330,,,,,72836,,
331,,Upper Cover Window,711,36,25596,17-Dec-12,
332,,Upper cover Unique,316,36,11376,,
333,,Back Cover 70,720,30,21600,,
334,,Back Cover 70 Hole,317,30,9510,,
335,,,,,68082,,
336,,Upper Cover 70 Unique,809,36,29124,18-Dec-12,
337,,Back Cover 70,1052,30,31560,,
338,,Houing 70 ,546,9,4914,,
339,,,,,65598,,
340,,Upper Cover window,492,36,17712,20-Dec-12,
341,,back Cover 70,795,30,23850,,
342,,Housing 70 Black,660,9,5940,,
343,,,,,47502,,
344,,Dial Blank 70,1000,9,9000,26-Dec-12,
345,,Dial Blank 125,1000,8,8000,,
346,,Upper Cover 70 new,533,36,19188,,
347,,Back Cover 70 Hole,981,30,29430,,
348,,Back Cover 70,473,30,14190,,
349,,,,,79808,,
350,,Upper Cover window,1019,36,36684,29-Dec-12,
351,,Back Cover 70,998,30,29940,,
352,,,,,66624,,
353,,Dial Blank Qinque,540,12,6480,03-Jan-13,
354,,Cove set 125,500,125,62500,,
355,,Housing Rikshaw small,450,17,7650,,
356,,Housing Rikshaw Large,500,25,12500,,
357,,,,,89130,,
358,,Rubber Ring Rikshaw big,500,10,5000,10-Jan-13,
359,,Rubber Ring Rikshaw Small,500,5,2500,,
360,,Housing 70 Black,143,9,1287,,
361,,Upper Cover window,571,36,20556,,
362,,Back Cover 70 Hole,966,30,28980,,
363,,Housing 70 Black,473,9,4257,,
364,,,,,62580,,
365,,Rubber Ring  Outer,500,5,2500,18-Jan-13,
366,,Rubber Ring Inner,500,5,2500,,
367,,Housing rikshaw Small,260,17,4420,,
368,,Dial Blank window Rikshaw,500,12,6000,,
369,,Upper Cover Window,1040,36,37440,,
370,,Back Cover 70 Hole,632,30,18960,,
371,,Housing Rikshaw Small,862,17,14654,,
372,,Nest Rikshaw,1000,5,5000,,
373,,Rubber Ring  Outer,200,5,1000,,
374,,Rubber Ring  inner,200,5,1000,,
375,,,,,93474,,
376,,Upper Cover 70 new,1048,36,37728,19-Jan-13,
377,,Upper Cover Window,332,36,11952,,
378,,Back Cover 70,628,30,18840,,
379,,,,,68520,,
380,,Back Cover 70 Hole,113,30,3390,24-Jan-13,
381,,Dial Blank 70,500,9,4500,,
382,,Back Cover 70 Gare counter,324,30,9720,,
