Sr.,,Particulars,Qty,Rate,Total,Date,
1347,,Housing Large riskshah,224,25,5600,,
1348,,Housing large riskshah,966,25,24150,,
1349,,Housing small Rikshaw,520,17,8840,,
1350,,Housing medium Riskshah,530,17,9010,,
1351,,,,,102500,,
1352,,Upper Cover 70 New,773,36,27828,03-Apr-14,
1353,,Back Cover 70,746,30,22380,,
1354,,,,,50208,,
1355,,Upper cover New Model 70,933,36,33588,04-Apr-14,
1356,,Back Cover 70,646,30,19380,,
1357,,Rubber Ring Riskshah small,480,5,2400,,
1358,,Rubber Ring Rikshaw Small,300,5,1500,,
1359,,,,,56868,,
1360,,Dial Blank Master Riskshah 26-3-14,300,8,2400,08-Apr-14,
1361,,Dial Blank Ravi,300,12,3600,,
1362,,Upper Cover 70,1107,36,39852,,
1363,,Back Cover 70,1171,30,35130,,
1364,,Rubber Ring Inner Large Riskshah,500,10,5000,,
1365,,Rubber Ring  Outer Large Riskshah,180,10,1800,,
1366,,Nest Small Riskshah,665,5,3325,,
1367,,,,,91107,,
1368,,Upper Cover  70 New,752,36,27072,04-10-14,
1369,,Back  Cover 70,708,30,21240,,
1370,,Nest Riskshah Small,470,10,4700,,
1371,,Rubber ring  Inner small,960,10,9600,,
1372,,Rubber Ring Outer small ,1000,10,10000,,
1373,,,,,60462,,
1374,,Upper Cover 70 New,848,36,30528,04-14-14,
1375,,Back  Cover 70,852,30,25560,,
1376,,,,,56088,,
1377,,Upper Cover  70,640,36,23040,04-15-14,
1378,,Upper Cover Window,616,36,22176,,
1379,,Back  Cover 70,1223,30,36690,,
1380,,,,,81906,,
1381,,Upper Cover Window,1001,36,36036,04-16-14,
1382,,Back  Cover 70,1014,30,30420,,
1383,,,,,66456,,
1384,,Upper Cover  70,636,36,22896,17-04-14,
1385,,Back  Cover 70,682,30,20460,,
1386,,,,,43356,,
1387,,Upper cover new model 70,1082,36,38952,19-04-14,
1388,,Back  Cover 70,1125,30,33750,,
1389,,,,,72702,,
1390,,Upper cover new model,200,36,7200,22-04-14,
1391,,Back cover gear counter,200,30,6000,,
1392,,Housing 70 gear counter ,200,9,1800,,
1393,,Upper cover new model 70,1054,36,37944,,
1394,,Back  Cover 70,1059,30,31770,,
1395,,,,,84714,,
1396,,Dial Blank Ravi 100 CC,500,12,6000,24-04-14,
1397,,Dial Blank Ravi 100 CC,350,12,4200,,
1398,,,,,10200,,
1399,,Upper  cover unique,500,36,18000,27-04-14,
1400,,Upper Cover Window,1064,36,38304,,
1401,,Back Cover 70,723,30,21690,,
1402,,,,,77994,,
1403,,Upper Cover Window,1504,36,54144,28-04-14,
1404,,Back  Cover 70,158,30,4740,,
1405,,Rubber Ring large Rickshaw,500,10,5000,,
1406,,Rubber Ring  Inner lARGE Riskshah,505,10,5050,,
1407,,Nest Large,373,10,3730,,
1408,,RUBBER RING SMALL INNER OUTTER,2000,5,10000,,
1409,,,,,82664,,
1410,,Back  Cover 70,542,30,16260,29-04-14,
1411,,Upper Cover 70 ,50,36,1800,,
1412,,Back cover gear counter,50,30,1500,,
1413,,Housing 70 gear counter,50,9,450,,
1414,,,,,20010,,
1415,,upper Cover Window    ,414,36,14904,30-04-14,
1416,,Back  Cover 70,1509,30,45270,,
1417,,,,,60174,,
1418,,Upper Cover Window,891,36,32076,02-05-14,
1419,,Back  Cover 70,1015,30,30450,,
1420,,Upper Cover 70 New,508,36,18288,,
1421,,Back cover gear counter,500,30,15000,,
1422,,Housing gear counter 70,500,9,4500,,
1423,,Dial Blank Ravi,1000,12,12000,,
1424,,Dial Blank 125,50,8,400,,
1425,,,,,112714,,
1426,,Upper cover new model125,300,,0,05-03-14,
1427,,Upper Cover Window,546,36,19656,,
1428,,Upper coverwindow,470,36,16920,,
1429,,Back  Cover 70,1516,30,45480,,
1430,,,,,82056,,
1431,,upper Cover Window    ,452,36,16272,05-05-14,
1432,,Uppercover window,1024,36,36864,05-06-14,
1433,,Back  Cover 70,1095,30,32850,,
1434,,Upper Cover Window,761,36,27396,,
1435,,Upper cover new model 70,1005,36,36180,,
1436,,Back  Cover 70,340,30,10200,,
1437,,,,,143490,,
1438,,uppercover window,345,36,12420,05-07-14,
1439,,Back  Cover 70,761,30,22830,,
1440,,,,,35250,,
1441,,Dial Blank 125,50,8,400,05-08-14,
1442,,Upper Cover Window,601,36,21636,,
1443,,Back  Cover 70,649,30,19470,,
1444,,Upper cover new 70,464,36,16704,,
1445,,Back cover gear counter,528,30,15840,,
1446,,Housing gear counter 70,500,9,4500,,
1447,,,,,78850,,
1448,,Upper Cover Window,505,36,18180,05-09-14,
1449,,Upper Cover Window Unique,388,36,13968,,
1450,,Back  Cover 70,673,30,20190,,
1451,,,,,52338,,
1452,,Upper Cover Window,510,36,18360,05-10-14,
1453,,Back  Cover 70,1060,30,31800,,
1454,,Upper cover new model,164,36,5904,,
1455,,,,,56064,,
1456,,Upper cover new model,512,36,18432,05-11-14,
1457,,Upper Cover Window,502,36,18072,,
1458,,Back cover window,1453,30,43590,,
1459,,,,,80094,,
1460,,Upper Cover Window,524,36,18864,05-12-14,
1461,,Upper cover new 70,536,36,19296,,
1462,,Back  Cover 70,777,30,23310,,
1463,,,,,61470,,
1464,,Upper Cover 70 ,1023,36,36828,05-14-14,
1465,,Back  Cover 70,1008,30,30240,,
1466,,Dial Blank 125,1000,8,8000,,
1467,,,,,75068,,
1468,,Dial blankmaster,500,8,4000,05-15-14,
1469,,Dial blank Ravi,329,12,3948,,
1470,,,,,7948,,
1471,,Cover Set 125new,100,125,12500,05-21-14,
1472,,Cover Set 125 Old,100,125,12500,,
1473,,Housing Riskshah Large,1010,35,35350,,
1474,,Housing riskshah medium,156,17,2652,,
1475,,Housing riskshah small,136,17,2312,,
1476,,Dial Blank 70 Ring,700,9,6300,,
1477,,Dial Ring,700,7,4900,,
1478,,,,,76514,,
1479,,Nest Rickshah Large,223,10,2230,22-05-14,
1480,,Nest Rickshah Small,170,5,850,,
1481,,Rubber Ring Rickshah Large Outer,300,10,3000,,
1482,,Rubber Ring Rickshah Inner large,150,10,1500,,
1483,,Rubber Ring Rickshah small inner,1000,5,5000,,
1484,,Rubber Ring rickshah small outer,350,5,1750,,
1485,,,,,14330,,
1486,,Upper Cover 70 ,603,36,21708,23-05-14,
1487,,Back Cover 70,612,30,18360,,
1488,,Nest small Riskshah,500,5,2500,,
1489,,Rubber ring small upper,425,5,2125,,
1490,,Rubber Ring large Rickshaw,570,10,5700,,
1491,,,,,50393,,
1492,,Cover Set 125 New,50,125,6250,24-05-14,
1493,,Nest Rickshah Large,195,10,1950,,
1494,,,,,8200,,
1495,,,,,,,
1496,,Dial Blank Master,500,8,4000,27-05-14,
1497,,Upper cover new model 70,519,36,18684,,
1498,,Back  Cover 70,519,30,15570,,
1499,,Rubber ring outer large Riskshah,700,10,7000,,
1500,,Nest large Rikkshaw,640,10,6400,,
1501,,Dial  blank master RPM,500,8,4000,,
1502,,Dial blank 125 RPM,500,8,4000,,
1503,,,,,59654,,
1504,,Upper cover new model 70,564,36,20304,28-05-14,
1505,,Back  Cover 70,696,30,20880,,
1506,,Dial Blank Ravi,2000,12,24000,,
1507,,,,,65184,,
1508,,Upper cover new model 70,596,36,21456,29-05-14,
1509,,Back  Cover 70,638,30,19140,,
1510,,nest small  riksha,470,5,2350,,
1511,,Reberr ring Large oter ,277,10,2770,,
1512,,,,,45716,,
1513,,Upper cover WINDOw,988,36,35568,29-05-14,
1514,,Back  Cover 70,961,30,28830,,
1515,,,,,64398,,
1516,,Upper  cover    new 70  Model,846,36,30456,30-05-14,
1517,,Back  Cover 70,871,30,26130,,
1518,,,,,56586,,
1519,,Upper cover new model 70,658,36,23688,31-05-14,
1520,,Back  Cover 70,366,30,10980,,
1521,,Dial Blank 125 speedo,120,8,960,,
1522,,,,,35628,,
1523,,upper  cover   1. 2. 5,100,65,6500,05-06-14,
1524,,upper  cover   window,638,36,22968,05-06-14,
1525,,Back  Cover 70,657,30,19710,,
1526,,housing rikshaw Large,1010,25,25250,,
1527,,housing rikshaw Large black,770,35,26950,,
1528,,housing rikshaw midim,639,17,10863,,
1529,,housing rikshaw small,658,17,11186,,
1530,,,,,116927,,
1531,,Upper  cover    new 70  Model,520,36,18720,07-06-14,
1532,,upper  cover    window,531,36,19116,,
1533,,Back  Cover 70,1038,30,31140,,
1534,,Housing rikshaw midim,220,17,3740,,
1535,,Housing rikshaw small,300,17,5100,,
1536,,,,,77816,,
1537,,upper  cover    window,647,36,23292,11-06-14,
1538,,Back  Cover 70,688,30,20640,,
1539,,rUBBER RING SMALL INNER ,850,5,4250,,
1540,,rUBBER RING SMALL OUTTER,575,5,2875,,
1541,,rUBBER RING large inner,480,10,4800,,
1542,,rUBBER RING large  OUTTER,485,10,4850,,
1543,,Nest Large,400,10,4000,,
1544,,Nest small Riskshah,370,5,1850,,
1545,,dial  blank 125,250,8,2000,,
1546,,,,,68557,,
1547,,upper  cover   window,605,36,21780,13-06-14,
1548,,Back  Cover 70,662,30,19860,,
1549,,Dial  blank RAVI,850,12,10200,,
1550,,,,,51840,,
1551,,Upper  cover    new 70  Model,542,36,19512,16-06-14,
1552,,upper  cover    window,612,36,22032,,
1553,,Back  Cover 70,1187,30,35610,,
1554,,,,,77154,,
1555,,,,,0,,
1556,,,,,0,,
1557,,,,,0,,
1558,,,,,0,,
1559,,,,,0,,
1560,,,,,0,,
1561,,,,,0,,
1562,,,,,0,,
1563,,,,,0,,
1564,,,,,0,,
1565,,,,,,,
1566,,,,,,,
1567,,,,,,,
