Sr.,Particulars,,,,Qty,Rate,Total,,Date
27,Housing 70,,,,630,9,5670,,
28,,,,,,,16830,,
29,Upper Cover Unique 70,,,,478,36,17208,,06-Feb-12
30,Back Cover 70,,,,464,30,13920,,
31,Housing 70,,,,523,9,4707,,
32,,,,,,,35835,,
33,Upper Cover Unique ,,,,711,36,25596,,07-Feb-12
34,Back Cover 70,,,,835,30,25050,,
35,Housing 70,,,,434,9,3906,,
36,,,,,,,54552,,
37,Upper Cover Unique,,,,952,36,34272,,08-Feb-12
38,Back Cover 70,,,,680,30,20400,,
0,Housing 70,,,,458,9,4122,,
40,,,,,,,58794,,
41,Upper Cover Unique,,,,586,36,21096,,09-Feb-12
42,Back Cover 70,,,,956,30,28680,,
43,,,,,,,49776,,
44,Back Cover 70,,,,462,30,13860,,10-Feb
45,Housing 70,,,,327,9,2943,,
,Housing 70 abs,,,,327,9,2943,,
47,Upper Cover 70,,,,380,36,13680,,13-Feb-13
48,Back cover 70,,,,526,30,15780,,
49,Housing 70,,,,549,9,4941,,
50,Upper Cover 70,,,,249,36,8964,,14-Feb-12
51,Back Cover 70,,,,507,30,15210,,
52,Housing 70,,,,498,9,4482,,
53,,,,,,,28656,,
1,Upper Cover 70,,,,480,36,17280,,15-Feb-12
2,Back Cover 70,,,,725,30,21750,,
3,Housing 70,,,,631,9,5679,,
4,,,,,,,44709,,
5,Upper Cover 70,,,,222,36,7992,,16-Feb-12
6,Back Cover 70,,,,449,30,13470,,
7,Hpusing 70,,,,296,9,2664,,
8,,,,,,,24126,,
9,Back Cover 70,,,,542,30,16260,,17-Feb-12
10,Housing 70,,,,268,9,2412,,
11,,,,,,,18672,,
12,Back Cover 70,,,,372,30,11160,,18-Feb-12
13,Housing 70,,,,368,9,3312,,
14,,,,,,,14472,,
15,Upper Cover 70 New,,,,397,36,14292,,20-Feb-12
16,Upper Cover 70 New,,,,397,36,14292,,
17,Upper Cover Hi Speed,,,,166,36,5976,,
18,Back Cover 70,,,,587,30,17610,,
19,Housing 70,,,,445,9,4005,,
20,,,,,,,56175,,
21,Upper Cover 70 New,,,,312,36,11232,,21-Feb-12
22,Upper Cover Hi Speed,,,,74,36,2664,,
23,Back Cover 70,,,,596,30,17880,,
24,Housing 70,,,,393,9,3537,,
25,,,,,,,35313,,
26,Upper Cover Hi Speed,,,,472,36,16992,,23-Feb-12
27,Back Cover 70,,,,498,30,14940,,
28,Housing 70,,,,315,9,2835,,
29,,,,,,,34767,,
30,Upper Cover Hi Speed,,,,314,36,11304,,27-Feb-12
31,Housing 70,,,,199,9,1791,,
32,,,,,,,13095,,
33,Upper Cover Unique,,,,737,36,26532,,01-Mar-12
34,Upper Cover Hi Speed,,,,300,36,10800,,
35,Back Cover 70,,,,233,30,6990,,
36,Housing 70,,,,599,9,5391,,
37,,,,,,,49713,,
38,Upper Cover Unique,,,,752,36,27072,,02-Mar-12
0,Upper Cover Unique,,,,485,36,17460,,05-Mar
40,Back Cover 70,,,,209,30,6270,,
41,Housing 70,,,,252,9,2268,,
42,,,,,,,25998,,
43,Upper Cover Unique,,,,340,36,12240,,06-Mar-12
44,Back Cover 70,,,,340,30,10200,,
45,Housing 70,,,,285,9,2565,,
46,Back Cover Quinque,,,,500,15,7500,,
47,Nest Quinque,,,,500,15,7500,,
48,Housing Quinque,,,,497,30,14910,,
49,,,,,,,54915,,
50,Upper Cover Unique,,,,421,36,15156,,07-Mar-12
51,Back Cover 70,,,,455,30,13650,,
52,,,,,,,28806,,
1,Housing 70,,,,72,9,648,,08-Mar-12
2,Housing 70,,,,272,9,2448,,
3,Upper Cover Unique New,,,,468,36,16848,,
4,Back Cover 70,,,,836,30,25080,,
5,Housing 70,,,,767,9,6903,,
6,,,,,,,51927,,
7,Dial Blank Quinque,,,,500,12,6000,,09-Mar
8,Upper Cover Unique ,,,,673,36,24228,,
9,Back Cover 70,,,,716,30,21480,,
10,,,,,,,51708,,
11,Upper Cover Unique,,,,406,36,14616,,09-Mar-12
12,Back Cover 70,,,,317,30,9510,,
13,Housing 70,,,,294,9,2646,,
14,Upper cover 70,,,,30,36,1080,,
15,,,,,,,27852,,
16,Upper Cover Unique,,,,349,36,12564,,10-Mar-12
17,Back Cover 70,,,,405,30,12150,,
18,Housing 70,,,,884,9,7956,,
19,,,,,,,32670,,
20,Printed Dial unique,,,,960,6,5760,,10-Mar-12
21,Upper Cover Unique,,,,453,36,16308,,12-Mar-12
22,Housing 70,,,,524,9,4716,,
23,,,,,,,21024,,
24,upper Cover Quinque,,,,300,40,12000,,13-Mar-12
25,upper Cover Quinque JS,,,,200,40,8000,,14-Mar-12
26,Upper Cover Sohrab JS,,,,206,45,9270,,15-Mar-12
27,Housing Sohrab JS,,,,205,30,6150,,
28,Nest Sohrab JS,,,,205,15,3075,,
29,Back Cover Sohrab JS,,,,205,15,3075,,
30,Back Cover 70,,,,408,30,12240,,
31,,,,,,,33810,,
32,Upper Cover Unique,,,,175,36,6300,,16-Mar-12
33,Back Cover 70,,,,569,30,17070,,
34,Housing 70,,,,540,9,4860,,
35,,,,,,,28230,,
36,Upper Cover Unique,,,,237,36,8532,,19-Mar-12
37,Back Cover 70,,,,293,30,8790,,
38,Housing 70,,,,291,9,2619,,
0,,,,,,,19941,,
40,Upper Cover Unique,,,,453,36,16308,,24-Mar-12
41,Back Cover 70,,,,486,30,14580,,
42,,,,,,,30888,,
43,Upper Cover Unique,,,,305,36,10980,,26-Mar
44,Housing 70,,,,368,9,3312,,
45,Upper Cover Unique,,,,297,36,10692,,
46,Housing 70,,,,391,9,3519,,
47,,,,,,,28503,,
48,Upper Cover Unique,,,,218,36,7848,,27-Mar-12
49,Back Cover 70,,,,554,30,16620,,
50,Housing 70,,,,617,9,5553,,
51,Dial Blank 70,,,,1000,9,9000,,
52,,,,,,,39021,,
1,Upper Cover Unique,,,,370,36,13320,,28-Mar-12
2,Housing 70,,,,262,9,2358,,
3,,,,,,,15678,,
