Sr.,Particulars,Qty,Rate,Total,,,
13,Upper Cover 70 New,509,33,16797,,,
14,Housing 70 ,575,9,5175,,,
16,Upper Cover United,495,33,16335,,,
17,Back Cover 70,288,28,8064,,,
18,Back Cover 70 (Gare Co),547,28,15316,,,
19,Housing 70,496,9,4464,,,
20,Housing 70 Gare Co,1243,9,11187,,,
22,Upper Cover  Unique,455,33,15015,,,
23,Dial Blank 70,3000,9,27000,,,
24,Dial Blank Sohrab JS,500,12,6000,,,
25,Upper Cover United,819,33,27027,,,
26,Back Cover 70,838,28,23464,,,
27,Housing 70,836,9,7524,,,
29,Dial Blank 70,2000,9,18000,,,
30,Upper cover United,749,33,24717,,,
31,Back Cover 70,904,28,25312,,,
32,Upper Cover Sohrab JS,302,45,13590,,,
33,Housing Sohrab JS,302,30,9060,,,
34,Back Cover Sohrab JS,302,15,4530,,,
35,Nest Sohrab JS,124,15,1860,,,
37,Upper Cover Unique 70,626,33,20658,,,
38,Back Cover 70,814,28,22792,,,
39,Housing 70,689,9,6201,,,
41,Upper Cover United,806,33,26598,,,
42,Upper Cover United,899,33,29667,,,
43,Back Cover 70,714,28,19992,,,
44,Housing 70,1524,9,13716,,,
46,Back Cover 70,1212,28,33936,,,
47,Housing 70,1208,9,10872,,,
48,Nest Sohrab JS,200,15,3000,,,
50,Dial Blank 70 King Hero,1000,9,9000,,,
51,Dial Blank 70,3000,9,27000,,,
52,Upper Cover United,597,33,19701,,,
53,Back Cover 70,1293,28,36204,,,
54,Housing 70,907,9,8163,,,
56,Upper Cover United,886,33,29238,,,
57,Back Cover 70,1306,28,36568,,,
58,Housing 70,1604,9,14436,,,
1,Upper Cover United,1064,33,35112,,,
2,Back Cover 70,1068,28,29904,,,
3,Housing 70 Black,604,9,5436,,,
4,Upper Cover Unique 70,530,33,17490,,,
5,back Cover 70 Gare Counter,159,28,4452,,,
6,Housing 70 Gare Counter,524,9,4716,,,
8,Upper Cover 70,370,33,12210,,,
9,Dial Ring 70,500,6,3000,,,
11,Back Cover 70,294,28,8232,,,
12,Upper Cover United,258,33,8514,,,
,Upper Cover United,420,33,13860,,,
13,Back Cover 70,186,28,5208,,,
14,Dial Blank 70,1500,9,13500,,,
15,Dial Blank Sohrab JS,500,12,6000,,,
16,Upper Cover United,144,33,4752,,,
17,Upper Cover United,366,33,12078,,,
18,Back Cover 70,451,28,12628,,,
19,Housing 70 Black,648,9,5832,,,
21,Upper Cover United,308,33,10164,,,
22,Back Cover 70,170,28,4760,,,
23,Upper Cover United,381,33,12573,,,
24,Back Cover 70,1018,28,28504,,,
25,upper Cover 70 New,231,33,7623,,,
26,back Cover 70 Gare Counter,108,28,3024,,,
27,Housing 70 Black,1063,9,9567,,,
29,Upper Cover United,664,33,21912,,,
30,Upper Cover United,842,33,27786,,,
31,Back Cover 70,905,28,25340,,,
32,Housing 70 Black,863,9,7767,,,
34,Dial Blank 70,500,9,4500,,,
35,Upper Cover United,554,33,18282,,,
36,Back Cover 70,275,28,7700,,,
37,back Cover 70 Gare Counter,522,28,14616,,,
38,Housing 70,493,9,4437,,,
40,Dial Blank 70,1000,9,9000,,,
41,dial Blank 70,3000,9,27000,,,
42,Upper Cover 70,235,33,7755,,,
43,Upper Cover United,136,33,4488,,,
44,Back Cover 70,590,28,16520,,,
45,Housing 70,166,9,1494,,,
46,Housing Sohrab JS,300,30,9000,,,
47,Nest Sohrab JS,300,15,4500,,,
49,Upper Cover United,244,33,8052,,,
50,Upper Cover Hero 70,139,33,4587,,,
51,Back Cover 70,308,28,8624,,,
53,Upper cover United,483,33,15939,,,
54,Back Cover 70,308,28,8624,,,
56,Upper Cover Zxmco,1485,33,49005,,,
57,Back Cover 70,1025,28,28700,,,
58,Housing 70,1594,9,14346,,,
59,Dial Blank 70,3000,9,27000,,,
1,Dial Ring 70,500,6,3000,,,
2,Upper Cover Sohrab JS,378,45,17010,,,
3,back Cover Sohrab JS,350,15,5250,,,
4,back Cover 70,204,28,5712,,,
6,Upper cover United,356,33,11748,,,
7,Back Cover 70,390,28,10920,,,
9,Upper Cover United,358,33,11814,,,
10,Back Cover 70,186,28,5208,,,
11,Housing 70 Black,263,9,2367,,,
13,Upper Cover United,407,33,13431,,,
14,Back Cover 70,303,28,8484,,,
15,Housing 70 Black,285,9,2565,,,
17,Upper Cover United,351,33,11583,,,
18,Back Cover 70,205,28,5740,,,
19,Housing 70 Black,270,9,2430,,,
21,Upper Cover United,314,33,10362,,,
22,Back Cover 70,170,28,4760,,,
23,Housing 70 Black,541,9,4869,,,
25,Upper Cover United,592,33,19536,,,
26,Back Cover 70,204,28,5712,,,
28,Dial Blank 70,500,9,4500,,,
29,Back Cover 70,589,28,16492,,,
30,Housing 70 Black,240,9,2160,,,
32,Back Cover 70,204,28,5712,,,
33,Back Cover 70 (Gare Counter),228,28,6384,,,
34,Housing 70 (Gare Counter),240,9,2160,,,
36,Upper Cover 70 New,76,33,2508,,,
37,Back cover  70,84,28,2352,,,
38,Housing 70,405,9,3645,,,
40,Upper Cobver Unique,222,33,7326,,,
41,Upper Cover United,247,33,8151,,,
42,Housing 70 Black,545,9,4905,,,
44,Dial Blank 70,1000,9,9000,,,
45,Back Cover 70,308,28,8624,,,
46,Housing 70 Black,485,9,4365,,,
48,Upper Cover Zxmco,336,33,11088,,,
49,back Cover 70,186,28,5208,,,
50,Back Cover 70 (Gare Counter),228,28,6384,,,
51,Housing 70 (Gare Counter),190,9,1710,,,
53,Upper Cover 70 ,263,33,8679,,,
54,Back cover  70,372,28,10416,,,
55,Housing 70,342,9,3078,,,
57,Upper Cover Zxmco,148,33,4884,,,
58,back Cover 70,308,28,8624,,,
1,Back Cover 70,714,28,19992,,,
2,Back Cover 70,204,28,5712,,,
3,Housing  70,905,9,8145,,,
5,Upper Cover Zxmco,74,33,2442,,,
6,Back Cover 70,419,28,11732,,,
7,Housing  70 black,309,9,2781,,,
9,Upper Cover Zxmco,340,33,11220,,,
10,Back Cover 70,316,28,8848,,,
11,Housing  70 black,281,9,2529,,,
13,Upper Cover Zxmco,222,33,7326,,,
14,Upper Cover Zxmco,370,33,12210,,,
15,Back Cover 70,325,28,9100,,,
16,Housing  70 black,140,9,1260,,,
18,Dial Blank 70,1500,9,13500,,,
19,Upper Cover Zxmco,404,33,13332,,,
20,Upper Cover Zxmco,444,33,14652,,,
21,Back Cover 70,296,28,8288,,,
23,Dial Blank 70,1000,9,9000,,,
24,Upper Cover Zxmco,276,33,9108,,,
25,Back Cover 70,195,28,5460,,,
26,back Cover 70 (Gare Counter),228,28,6384,,,
27,Housing 70 black,438,9,3942,,,
29,Upper Cover Zxmco,370,33,12210,,,
30,Back Cover 70,324,28,9072,,,
31,Housing  70 black,374,9,3366,,,
33,Upper Cover Zxmco,296,33,9768,,,
34,Upper Cover 70 New,232,33,7656,,,
35,Housing  70 black,452,9,4068,,,
36,Back Cover 70,93,28,2604,,,
38,Upper Cover sohrab JS,228,45,10260,,,
39,Back Cover sohrab Js,228,15,3420,,,
40,Nest Sohrab JS,228,33,7524,,,
41,Housing Sohrab Js,230,30,6900,,,
42,upper Cover Zxmco,148,33,4884,,,
44,Back Cover 70,551,28,15428,,,
45,Housing 70 black,434,9,3906,,,
47,Dial Blank 70,1000,9,9000,,,
48,Back cover 70 Gare Counter,261,28,7308,,,
49,Back Cover 70,308,28,8624,,,
50,Housing 70 gare Counter,330,9,2970,,,
52,Upper Cover Zxmco,240,33,7920,,,
53,Back Cover 70,298,28,8344,,,
54,Housing  70 black,221,9,1989,,,
56,Upper Cover Window,74,33,2442,,,
57,Back cover 70 Gare Counter,261,28,7308,,,
58,Housing 70 gare Counter,80,9,720,,,
59,Upper Cover Sohrab Window,10,45,450,,,
60,upper Cover window 70,148,33,4884,,,
61,Back Cover 70,322,28,9016,,,
62,Housing 70,386,9,3474,,,
63,Dial Blank 70,1000,9,9000,,,
1,Upper Cover Unique,296,33,9768,,,
2,Upper Cover Window 70,498,33,16434,,,
4,Blank Dial 70,1000,9,9000,,,
5,Back Cover 70,331,30,9930,,,
6,Housing 70 Black,575,10,5750,,,
7,Dial Blank 70,1000,9,9000,,,
8,upper Cover Window,148,36,5328,,,
9,Back Cover 70,295,30,8850,,,
10,Housing 70 Black,408,10,4080,,,
12,Upper Cover 70,495,36,17820,,,
13,Back Cover 70,308,30,9240,,,
15,upper Cover  Window 70,222,36,7992,,,
16,Back Cover 70,413,30,12390,,,
17,Housing 70 ,312,10,3120,,,
19,Dial Blank 70,1500,9,13500,,,
20,Upper Cover Window 70,444,36,15984,,,
21,Back Cover 70,263,30,7890,,,
23,Upper Cover Window 70,92,36,3312,,,
24,Upper Cover Unique 70,74,36,2664,,,
25,Back Cover 70,365,30,10950,,,
26,Housing 70 Black,438,10,4380,,,
28,Back Cover 70,170,30,5100,,,
29,Housing 70 Black,1018,10,10180,,,
31,Back Cover 70,603,30,18090,,,
32,Housing 70 Black,267,10,2670,,,
34,Dial Blank 70,1500,9,13500,,,
35,Upper Cover Window 70,321,36,11556,,,
37,Upper Cover Window 70,410,36,14760,,,
38,Upper Cover Unique,518,36,18648,,,
39,back Cover 70,204,30,6120,,,
40,Housing 70,120,10,1200,,,
42,upper Cover Window 70,419,36,15084,,,
43,Back Cover 70,288,30,8640,,,
45,upper Cover Window 70,157,36,5652,,,
46,Back Cover 70,200,30,6000,,,
47,Housing 70 Black,488,10,4880,,,
49,upper Cover Window 70,74,36,2664,,,
50,Back Cover 70 gare counter,704,30,21120,,,
51,Housing 70 Black,120,10,1200,,,
53,upper Cover Window 70,212,36,7632,,,
54,Back Cover 70,361,30,10830,,,
55,Housing 70 Black,308,10,3080,,,
57,upper Cover Window 70,458,36,16488,,,
58,Back Cover 70,204,30,6120,,,
59,Housing 70 Black,247,10,2470,,,
61,upper Cover Window 70,304,36,10944,,,
62,Back Cover 70,358,30,10740,,,
63,Housing 70 Black,260,10,2600,,,
1,Dial Blank 70,2000,9,18000,,,
2,Upper Cover Unique,355,36,12780,,,
3,Upper Cover Window,71,36,2556,,,
4,back Cover 70 hole,276,30,8280,,,
5,Housing 70 black,295,10,2950,,,
7,upper Cover Window 70,388,36,13968,,,
8,Back Cover 70 gare counter,251,30,7530,,,
9,Housing 70 Black,250,10,2500,,,
11,Dial Blank Sohrab js,200,12,2400,,,
12,Upper Cover window 70,222,36,7992,,,
13,back Cover 70 ,241,30,7230,,,
14,Housing 70 black,232,10,2320,,,
15,Upper Cover window 70,388,36,13968,,,
16,back Cover 70 ,192,30,5760,,,
17,Housing 70 black,255,10,2550,,,
19,Upper Cover window 70,148,36,5328,,,
20,back Cover 70 ,306,30,9180,,,
21,Housing 70 black,500,10,5000,,,
23,Upper Cover window 70,222,36,7992,,,
24,Upper Cover Soharb js,94,45,4230,,,
25,back cover Sohrab Js,100,15,1500,,,
26,Nest Sohrab Js,140,33,4620,,,
28,Upper Cover Window,148,36,5328,,,
29,Back Cover 70,174,30,5220,,,
30,Housing 70,275,10,2750,,,
31,Housing Sohrab Js Black,250,30,7500,,,
32,red Nest Sohrab Js,165,33,5445,,,
33,Back Cover Sohrab Js,100,15,1500,,,
35,Dial Blank 70,1000,9,9000,,,
36,Dial Blank 70,2500,9,22500,,,
37,Upper Cover Window,518,36,18648,,,
38,Back Cover 70,204,30,6120,,,
39,Upper Cover Window,530,36,19080,,,
40,Back Cover 70,93,30,2790,,,
41,Housing 70,288,10,2880,,,
43,Upper Cover Window,370,36,13320,,,
44,Back Cover 70,206,30,6180,,,
45,Housing 70,390,10,3900,,,
47,Upper Cover 70 New,148,36,5328,,,
48,Back  Cover 70,417,30,12510,,,
49,Housing  70,414,10,4140,,,
51,Back  Cover 70 gare Counter,352,30,10560,,,
52,Back  Cover 70,333,30,9990,,,
53,Housing  70,272,10,2720,,,
55,upper Cover  Window 70,444,36,15984,,,
