Sr.,Particulars,Qty,Rate,Total,,,
797,Upper cover 70 New,260,36,9360,,,
798,upper Cover window,297,36,10692,,,
799,Back  Cover  70,543,30,16290,,,
800,Housing  70 blue,518,10,5180,,,
801,Dial Blank sohrab JS,400,12,4800,,,
802,Rubber boot 125,200,1,200,,,
804,Upper Cover 70 new,475,36,17100,,,
805,back  Cover  70,639,30,19170,,,
806,Housing 70 blue,223,10,2230,,,
808,Upper Cover 70 New,402,36,14472,,,
809,back  Cover  70,324,30,9720,,,
811,Housing  70 Black,490,10,4900,,,
812,back  Cover  70,583,30,17490,,,
813,Housing  70 black,602,10,6020,,,
814,back cover 125,100,20,2000,,,
816,Upper Cover window,775,36,27900,,,
817,Housing 70 Black,630,10,6300,,,
819,Upper cover Window,500,36,18000,,,
820,back  Cover  70,240,30,7200,,,
821,Housing  70 Black,420,10,4200,,,
823,Upper Cover window,378,36,13608,,,
824,Housing 70 black,540,10,5400,,,
826,Upper cover 70 New,641,36,23076,,,
827,dial Blank 125,200,9,1800,,,
829,Upper Cover Window,597,36,21492,,,
830,Back  Cover  70,504,30,15120,,,
831,Housing  70 Black,360,10,3600,,,
833,Upper Cover Window,687,36,24732,,,
834,Back  Cover  70,510,30,15300,,,
835,Housing  70 Black,540,10,5400,,,
836,Housing  70 blue,250,10,2500,,,
837,Upper Cover soharb js,310,45,13950,,,
838,Back Cover sohrab,300,20,6000,,,
839,Housing sohrab,320,33,10560,,,
841,back  Cover  70,726,30,21780,,,
842,Housing  70 Black,540,10,5400,,,
844,upper cover window,480,36,17280,,,
845,Back  Cover  70,555,30,16650,,,
846,Nest Red sohrab js,300,20,6000,,,
848,Upper Cover window,560,36,20160,,,
849,Upper Cover Window,363,36,13068,,,
850,Upper Cover 70 New,152,36,5472,,,
851,Back  Cover  70,778,30,23340,,,
853,Back  Cover  70,1386,30,41580,,,
854,Upper Cover Window,771,36,27756,,,
855,Housing  70 Black,300,10,3000,,,
857,Upper Cover Window,74,36,2664,,,
858,Back  Cover  70,714,30,21420,,,
859,Housing  70 Black,1080,10,10800,,,
860,back cover 125,100,20,2000,,,
862,Upper Cover Window,648,36,23328,,,
863,Back  Cover  70,333,30,9990,,,
864,Housing  70 Black,510,10,5100,,,
865,back cover 125,100,20,2000,,,
867,Upper Cover Window,604,36,21744,,,
868,Back  Cover  70,564,30,16920,,,
870,Upper Cover Window,618,36,22248,,,
871,Back  Cover  70,336,30,10080,,,
872,Housing  70 Black,500,10,5000,,,
873,,,,37328,,,
874,Upper Cover Window,304,36,10944,,,
